CD8 Subsets,CD8_Prolif,CD8_Naïve,CD8_Tcm,CD8_Tem,CD8_TEMRA,CD8_Exh-Pre,CD8_Exh-Term,CD8_TRM,CD8_ISG,CD8_GZMK,CD8_MAIT,
Lineage,CD8A,CD8A,CD8A,CD8A,CD8A,CD8A,CD8A,CD8A,CD8A,CD8A,CD8A,
,CD8B,CD8B,CD8B,CD8B,CD8B,CD8B,CD8B,CD8B,CD8B,CD8B,CD8B,
Specific,MKI67,,BACH2,,ZEB2,EOMES,TOX,ZNF683,IFIT1,GZMK,KLRB1,
,TOP2A,,IL7R,,BHLHE40,BATF,ENTPD1,ITGAE,IFIT3,EOMES,CCR6,
,CDC20,,,,ID2,,LAG3,CREM,MX1,CD73,RORA,
,,,,,CXC3CR1,,BHLHE40,,IRF9,,KRLG1,
,,,,,IKZF2,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Shared,,TCF7,TCF7,TBX21,TBX21,TCF7,,,,,,
,,LEF1,LEF1,GNLY,GNLY,LEF1,,,,,,
,,CCR7,CCR7,GZMB,GZMB,CCR7,,,,,,
,,SELL,,,,SELL,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CD4 Subsets,CD4_Naïve,CD4_Th1,CD4_Th2,CD4_Th17,CD4_Tfh,CD4_Tr1,CD4_Treg,CD4_GZMK,CD4_ISG,CD4_Th22,CD4_CTL,CD4_Prolif
Lineage,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD4
Specific,IL7R,IFNG,IL4,CCR6,CXCR5,IL10,FOXP3,EOMES,IFIT1,GATA3,GZMB,MKI67
,TCF7,CXCR3,IL5,RORC,BCL6,TGFB1,IKZF2,CD27,ISG15,AHR,GNLY,TOP2A
,SELL,TBX21,CCR3,IL6R,CXCL13,CD27,CTLA4,TIGIT,IFIT3,,PRF1,CDC20
,,FASL,CCR4,IL21,IL21,CCR7,IL2RA,CD73,,,,
,,,GAT3,,MAF,,,GZMK,,,,
,,,,,SLAMF6,,,,,,,
,,,,,TOX,,,,,,,