TF1,TF2,R_J,R_D,Rank_J,Rank_D
FOXP1,HDAC1,-0.9757575757575756,-0.6848484848484848,1,31
HAVCR2,IKZF3,0.9636363636363636,0.8545454545454545,2,41
HAVCR2,KLF7,-0.9515151515151516,-0.6242424242424243,2,57
HDAC2,TCF7,-0.9030303030303032,-0.6727272727272727,3,34
AHR,FOXO1,0.9515151515151516,0.7696969696969697,3,94
CREM,NR4A2,0.9515151515151516,0.8424242424242424,4,46
IKZF3,KLF7,-0.9030303030303032,-0.6363636363636364,4,50
NR4A2,NR4A3,0.9272727272727272,0.8666666666666667,6,32
SIRT2,TBX21,0.9272727272727272,0.7696969696969697,7,102
HDAC2,JUNB,-0.8787878787878788,-0.4666666666666667,7,139
IKZF3,TCF7,-0.8666666666666667,-0.5151515151515151,9,118
ASXL1,ZEB1,0.9030303030303032,0.7090909090909091,10,144
IKZF3,NFATC3,0.9030303030303032,0.9030303030303032,13,13
FOS,HDAC1,-0.8424242424242424,-0.5636363636363636,14,85
FOXP1,HDAC2,-0.8424242424242424,-0.4424242424242424,15,157
CREM,NR4A3,0.8787878787878788,0.8666666666666667,17,28
HAVCR2,NFATC3,0.8666666666666667,0.8181818181818182,19,66
HAVCR2,LEF1,-0.8303030303030303,-0.6242424242424243,22,58
FOS,GATA3,0.8545454545454545,0.7454545454545455,22,118
FOS,JUN,0.8545454545454545,0.806060606060606,23,71
KLF7,TBX21,-0.8303030303030303,-0.8787878787878788,24,3
HDAC2,IKZF3,0.8545454545454545,0.6848484848484848,24,183
HDAC2,RUNX1,0.8545454545454545,0.6848484848484848,25,184
PIM2,ZEB2,-0.806060606060606,-0.5272727272727272,28,108
CREM,EOMES,-0.793939393939394,-0.7575757575757576,30,14
IKZF3,LEF1,-0.7818181818181819,-0.5636363636363636,34,87
KLF7,NFATC3,-0.7818181818181819,-0.696969696969697,36,26
BCL2,CBLB,-0.7696969696969697,-0.406060606060606,38,169
CREM,HDAC1,-0.7696969696969697,-0.7696969696969697,40,12
GATA3,HDAC1,-0.7696969696969697,-0.503030303030303,42,123
HDAC1,JUNB,-0.7696969696969697,-0.5151515151515151,43,115
FOXP1,JUNB,0.8181818181818182,0.7333333333333333,43,128
HDAC2,LEF1,-0.7696969696969697,-0.3696969696969697,44,194
LEF1,ZEB2,-0.7696969696969697,-0.9030303030303032,48,2
AHR,HAVCR2,-0.7575757575757576,-0.5757575757575758,49,73
KLF7,TCF7,0.806060606060606,0.7090909090909091,50,156
FOXP1,HAVCR2,-0.7575757575757576,-0.8424242424242424,52,4
RUNX1,TCF7,-0.7575757575757576,-0.5151515151515151,53,120
HDAC1,NR4A2,-0.7454545454545455,-0.4424242424242424,55,158
KLF7,SIRT2,-0.7454545454545455,-0.6484848484848484,57,44
AHR,NFATC3,-0.7333333333333333,-0.5757575757575758,59,74
IRF9,KLHL22,0.793939393939394,0.7212121212121212,60,141
HDAC2,KLF7,-0.7333333333333333,-0.5393939393939394,63,97
BRD7,ZEB2,0.7818181818181819,0.7333333333333333,64,126
FOXO1,GATA3,0.7818181818181819,0.8303030303030303,65,56
IRF9,STAT5A,-0.7333333333333333,-0.3575757575757576,66,200
KLHL22,ZEB2,-0.7333333333333333,-0.5393939393939394,67,98
JUNB,LEF1,0.7818181818181819,0.8424242424242424,68,50
KLHL22,PIM2,0.7818181818181819,0.8303030303030303,69,60
AHR,RBPJ,0.7696969696969697,0.8545454545454545,71,36
BRD4,KLHL22,-0.7212121212121212,0.7454545454545455,72,115
AHR,ZEB1,0.7696969696969697,0.7212121212121212,72,134
ASXL1,FOXO1,0.7696969696969697,0.8424242424242424,73,44
FOXP1,NFATC3,-0.7212121212121212,-0.6484848484848484,74,41
BACH2,ZEB1,0.7696969696969697,0.7454545454545455,74,114
IKZF3,JUNB,-0.7212121212121212,-0.7212121212121212,77,18
FOXO1,ZEB1,0.7696969696969697,0.793939393939394,77,78
KLF7,LEF1,0.7696969696969697,0.806060606060606,80,75
FOXP1,IKZF3,-0.7090909090909091,-0.7090909090909091,82,21
AHR,BACH2,0.7575757575757576,0.6848484848484848,82,174
HAVCR2,JUNB,-0.7090909090909091,-0.6242424242424243,83,56
CBLB,STAT5A,0.7575757575757576,0.696969696969697,84,164
LEF1,TBX21,-0.7090909090909091,-0.7333333333333333,87,17
SIRT2,ZEB2,0.7575757575757576,0.7090909090909091,87,157
ASXL1,KLF2,-0.696969696969697,0.696969696969697,89,160
IKZF3,TOX,0.7454545454545455,0.6727272727272727,91,200
BACH2,NFATC3,-0.6848484848484848,-0.4303030303030303,95,162
CBLB,MDM2,0.7333333333333333,-0.406060606060606,98,170
AHR,IKZF3,-0.6727272727272727,-0.6242424242424243,100,52
HAVCR2,SIRT2,0.7333333333333333,0.7333333333333333,100,129
HDAC1,NFATC3,0.7333333333333333,0.9030303030303032,101,12
EOMES,NR4A2,-0.6727272727272727,-0.5636363636363636,102,84
HDAC3,STAT5A,0.7333333333333333,0.7212121212121212,102,140
EOMES,NR4A3,-0.6727272727272727,-0.6363636363636364,103,48
HAVCR2,RBPJ,-0.6727272727272727,-0.4303030303030303,104,165
NFATC3,TBX21,0.7333333333333333,0.696969696969697,104,173
BRD4,ZEB2,0.7212121212121212,-0.3575757575757576,106,197
BATF,TCF7,-0.6606060606060606,-0.5515151515151515,108,91
BRD7,KLF2,-0.6606060606060606,-0.4545454545454545,109,147
HDAC1,KLF7,-0.6606060606060606,-0.6484848484848484,111,43
TBX21,ZEB2,0.7212121212121212,0.793939393939394,112,83
AHR,GATA3,0.7090909090909091,0.8545454545454545,114,35
LEF1,SIRT2,-0.6606060606060606,-0.7212121212121212,115,19
BACH2,BATF,-0.6484848484848484,-0.4666666666666667,116,135
EOMES,STAT3,-0.6484848484848484,-0.5515151515151515,119,93
HAVCR2,HDAC1,0.7090909090909091,0.9151515151515152,120,10
IKZF1,IRF9,0.7090909090909091,0.7333333333333333,122,130
JUN,JUNB,0.7090909090909091,0.793939393939394,124,81
LEF1,NFATC3,-0.6484848484848484,-0.5393939393939394,124,99
LEF1,STAT5B,0.7090909090909091,0.806060606060606,125,76
AHR,TBX21,-0.6363636363636364,-0.5636363636363636,126,81
BATF,IKZF3,0.696969696969697,0.7212121212121212,126,136
EZH2,HDAC3,0.696969696969697,0.696969696969697,128,168
IKZF3,RBPJ,-0.6363636363636364,-0.5757575757575758,130,80
FOXP1,JUN,0.696969696969697,0.7575757575757576,130,106
HDAC1,IKZF3,0.696969696969697,0.793939393939394,131,79
HDAC4,LEF1,0.696969696969697,0.793939393939394,132,80
TCF7,ZEB2,-0.6363636363636364,-0.4909090909090909,133,130
AHR,HDAC1,-0.6242424242424243,-0.5515151515151515,135,89
FOXO1,NFATC3,-0.6242424242424243,-0.6606060606060606,139,37
HDAC1,JUN,-0.6242424242424243,-0.5757575757575758,140,79
HDAC1,NR4A3,-0.6242424242424243,-0.4909090909090909,141,128
HDAC1,STAT3,-0.6242424242424243,-0.5636363636363636,142,86
FOXO1,RBPJ,0.6848484848484848,0.8545454545454545,143,40
FOXP1,KLF7,0.6848484848484848,0.7212121212121212,145,139
AHR,FOXP1,0.6727272727272727,0.6848484848484848,149,176
ASXL1,BRD4,0.6727272727272727,0.793939393939394,151,77
EOMES,HDAC1,0.6727272727272727,0.8666666666666667,154,29
CBLB,MAF,-0.6,-0.503030303030303,155,121
EOMES,FOXP1,-0.6,-0.6121212121212121,157,59
FOXO1,HAVCR2,-0.6,-0.3818181818181818,159,182
RUNX1,TOX,0.6606060606060606,0.8666666666666667,160,34
AHR,KLF7,0.6484848484848484,0.8181818181818182,162,61
AHR,EOMES,-0.5878787878787879,-0.4545454545454545,163,143
BATF,HDAC2,0.6484848484848484,0.6848484848484848,163,178
CREM,FOS,0.6484848484848484,0.7090909090909091,167,147
FOXP1,LEF1,0.6484848484848484,0.8666666666666667,170,30
GATA3,RBPJ,0.6484848484848484,0.9757575757575756,171,1
HAVCR2,STAT5B,-0.5878787878787879,-0.3818181818181818,172,183
TBX21,TCF7,-0.5878787878787879,-0.7090909090909091,178,23
PRDM1,TOX,0.6484848484848484,0.7818181818181819,178,93
BRD7,NR4A3,0.6363636363636364,-0.4666666666666667,181,136
GATA3,NFATC3,-0.5757575757575758,-0.5878787878787879,183,65
FOS,JUNB,0.6363636363636364,0.7212121212121212,183,138
HDAC4,STAT5B,0.6363636363636364,0.8787878787878788,185,21
NFATC3,ZEB1,-0.5757575757575758,-0.6363636363636364,186,51
TCF7,TOX,-0.5757575757575758,-0.696969696969697,187,27
JUN,STAT5B,0.6363636363636364,0.7212121212121212,187,142
KLF2,TCF7,0.6363636363636364,0.6848484848484848,188,187
BACH2,HDAC2,-0.5636363636363636,-0.6363636363636364,189,46
AHR,FOS,0.6242424242424243,0.9272727272727272,190,6
DNMT3A,HDAC4,0.6242424242424243,0.8181818181818182,193,63
FOXP1,STAT3,0.6242424242424243,0.7090909090909091,195,150
GATA3,HAVCR2,-0.5636363636363636,-0.4181818181818181,195,167
KLF7,RBPJ,0.6242424242424243,0.7818181818181819,197,91
KLF7,ZEB2,-0.5636363636363636,-0.806060606060606,198,8
