TF1,TF2,correlation,abs_correlation
GATA3,RBPJ,0.9757575757575757,0.9757575757575757
BATF,TET2,0.9393939393939394,0.9393939393939394
CBLB,EOMES,0.9393939393939394,0.9393939393939394
DNMT3A,ETS1,0.9393939393939394,0.9393939393939394
HDAC4,KLHL22,0.9393939393939394,0.9393939393939394
AHR,FOS,0.9272727272727272,0.9272727272727272
AHR,KLF2,0.9151515151515152,0.9151515151515152
BACH2,TCF7,0.9151515151515152,0.9151515151515152
FOS,STAT3,0.9151515151515152,0.9151515151515152
HAVCR2,HDAC1,0.9151515151515152,0.9151515151515152
FOS,KLF2,0.9030303030303031,0.9030303030303031
HDAC1,NFATC3,0.9030303030303031,0.9030303030303031
IKZF3,NFATC3,0.9030303030303031,0.9030303030303031
AHR,STAT3,0.8909090909090909,0.8909090909090909
KLHL22,STAT5B,0.8909090909090909,0.8909090909090909
MAF,NR4A2,0.8909090909090909,0.8909090909090909
BCL2,HDAC4,0.8787878787878788,0.8787878787878788
BCL2,STAT5B,0.8787878787878788,0.8787878787878788
EOMES,HAVCR2,0.8787878787878788,0.8787878787878788
HDAC4,PIM2,0.8787878787878788,0.8787878787878788
HDAC4,STAT5B,0.8787878787878788,0.8787878787878788
MAF,NR4A3,0.8787878787878788,0.8787878787878788
PRDM1,TET2,0.8787878787878788,0.8787878787878788
AHR,JUN,0.8666666666666667,0.8666666666666667
BATF,TOX,0.8666666666666667,0.8666666666666667
BRD7,IKZF3,0.8666666666666667,0.8666666666666667
BRD7,NFATC3,0.8666666666666667,0.8666666666666667
CREM,NR4A3,0.8666666666666667,0.8666666666666667
EOMES,HDAC1,0.8666666666666667,0.8666666666666667
FOXP1,LEF1,0.8666666666666667,0.8666666666666667
GATA3,ZEB1,0.8666666666666667,0.8666666666666667
NR4A2,NR4A3,0.8666666666666667,0.8666666666666667
RBPJ,ZEB1,0.8666666666666667,0.8666666666666667
RUNX1,TOX,0.8666666666666667,0.8666666666666667
AHR,GATA3,0.8545454545454545,0.8545454545454545
AHR,RBPJ,0.8545454545454545,0.8545454545454545
BACH2,JUN,0.8545454545454545,0.8545454545454545
BATF,PRDM1,0.8545454545454545,0.8545454545454545
CREM,MAF,0.8545454545454545,0.8545454545454545
FOXO1,RBPJ,0.8545454545454545,0.8545454545454545
HAVCR2,IKZF3,0.8545454545454545,0.8545454545454545
ID2,SIRT2,0.8545454545454545,0.8545454545454545
JUN,ZEB1,0.8545454545454545,0.8545454545454545
ASXL1,FOXO1,0.8424242424242424,0.8424242424242424
BCL2,KLHL22,0.8424242424242424,0.8424242424242424
CREM,NR4A2,0.8424242424242424,0.8424242424242424
ETS1,KLHL22,0.8424242424242424,0.8424242424242424
HDAC3,NFATC1,0.8424242424242424,0.8424242424242424
IKZF1,NFATC2,0.8424242424242424,0.8424242424242424
JUNB,LEF1,0.8424242424242424,0.8424242424242424
AHR,STAT5B,0.8303030303030303,0.8303030303030303
BCL2,IRF9,0.8303030303030303,0.8303030303030303
BRD7,HDAC1,0.8303030303030303,0.8303030303030303
CBLB,HDAC3,0.8303030303030303,0.8303030303030303
DNMT3A,PIM2,0.8303030303030303,0.8303030303030303
FOXO1,GATA3,0.8303030303030303,0.8303030303030303
JUN,KLF2,0.8303030303030303,0.8303030303030303
JUN,KLF7,0.8303030303030303,0.8303030303030303
KLF2,STAT3,0.8303030303030303,0.8303030303030303
KLHL22,PIM2,0.8303030303030303,0.8303030303030303
AHR,KLF7,0.8181818181818182,0.8181818181818182
CBLB,HAVCR2,0.8181818181818182,0.8181818181818182
DNMT3A,HDAC4,0.8181818181818182,0.8181818181818182
ETS1,PIM2,0.8181818181818182,0.8181818181818182
FOS,STAT5B,0.8181818181818182,0.8181818181818182
HAVCR2,NFATC3,0.8181818181818182,0.8181818181818182
KLF2,RBPJ,0.8181818181818182,0.8181818181818182
BHLHE40,SIRT2,0.806060606060606,0.806060606060606
DNMT3A,KLHL22,0.806060606060606,0.806060606060606
ETS1,HDAC4,0.806060606060606,0.806060606060606
FOS,JUN,0.806060606060606,0.806060606060606
FOXO1,STAT3,0.806060606060606,0.806060606060606
JUN,RBPJ,0.806060606060606,0.806060606060606
KLF2,STAT5B,0.806060606060606,0.806060606060606
KLF7,LEF1,0.806060606060606,0.806060606060606
LEF1,STAT5B,0.806060606060606,0.806060606060606
ASXL1,BRD4,0.793939393939394,0.793939393939394
FOXO1,ZEB1,0.793939393939394,0.793939393939394
HDAC1,IKZF3,0.793939393939394,0.793939393939394
HDAC4,LEF1,0.793939393939394,0.793939393939394
JUN,JUNB,0.793939393939394,0.793939393939394
KLF7,ZEB1,0.793939393939394,0.793939393939394
TBX21,ZEB2,0.793939393939394,0.793939393939394
BACH2,KLF2,0.7818181818181819,0.7818181818181819
BCL2,FOXP1,0.7818181818181819,0.7818181818181819
CBLB,HDAC1,0.7818181818181819,0.7818181818181819
GATA3,KLF2,0.7818181818181819,0.7818181818181819
GATA3,KLF7,0.7818181818181819,0.7818181818181819
HDAC4,STAT3,0.7818181818181819,0.7818181818181819
IKZF3,ZEB2,0.7818181818181819,0.7818181818181819
KLF7,RBPJ,0.7818181818181819,0.7818181818181819
KLHL22,LEF1,0.7818181818181819,0.7818181818181819
PRDM1,TOX,0.7818181818181819,0.7818181818181819
AHR,FOXO1,0.7696969696969697,0.7696969696969697
BACH2,KLF7,0.7696969696969697,0.7696969696969697
BCL2,LEF1,0.7696969696969697,0.7696969696969697
GATA3,JUN,0.7696969696969697,0.7696969696969697
HDAC4,IRF9,0.7696969696969697,0.7696969696969697
JUN,LEF1,0.7696969696969697,0.7696969696969697
JUN,STAT3,0.7696969696969697,0.7696969696969697
JUNB,ZEB2,-0.9272727272727272,0.9272727272727272
LEF1,ZEB2,-0.9030303030303031,0.9030303030303031
KLF7,TBX21,-0.8787878787878788,0.8787878787878788
FOXP1,HAVCR2,-0.8424242424242424,0.8424242424242424
FOXP1,ZEB2,-0.8424242424242424,0.8424242424242424
IKZF3,JUN,-0.8424242424242424,0.8424242424242424
JUN,ZEB2,-0.8424242424242424,0.8424242424242424
KLF7,ZEB2,-0.806060606060606,0.806060606060606
STAT3,ZEB2,-0.793939393939394,0.793939393939394
FOS,ZEB2,-0.7818181818181819,0.7818181818181819
BRD7,CREM,-0.7696969696969697,0.7696969696969697
CREM,HDAC1,-0.7696969696969697,0.7696969696969697
AHR,ZEB2,-0.7575757575757576,0.7575757575757576
CREM,EOMES,-0.7575757575757576,0.7575757575757576
FOXP1,SIRT2,-0.7575757575757576,0.7575757575757576
JUN,NFATC3,-0.7454545454545455,0.7454545454545455
LEF1,TBX21,-0.7333333333333333,0.7333333333333333
IKZF3,JUNB,-0.7212121212121212,0.7212121212121212
LEF1,SIRT2,-0.7212121212121212,0.7212121212121212
BRD7,JUN,-0.7090909090909091,0.7090909090909091
FOXP1,IKZF3,-0.7090909090909091,0.7090909090909091
JUN,TBX21,-0.7090909090909091,0.7090909090909091
TBX21,TCF7,-0.7090909090909091,0.7090909090909091
BRD7,KLF7,-0.696969696969697,0.696969696969697
CREM,IKZF3,-0.696969696969697,0.696969696969697
KLF7,NFATC3,-0.696969696969697,0.696969696969697
TCF7,TOX,-0.696969696969697,0.696969696969697
ZEB1,ZEB2,-0.696969696969697,0.696969696969697
CREM,NFATC3,-0.6848484848484848,0.6848484848484848
EOMES,MAF,-0.6848484848484848,0.6848484848484848
FOXP1,HDAC1,-0.6848484848484848,0.6848484848484848
BACH2,TBX21,-0.6727272727272727,0.6727272727272727
CREM,HAVCR2,-0.6727272727272727,0.6727272727272727
HDAC2,TCF7,-0.6727272727272727,0.6727272727272727
HDAC4,ZEB2,-0.6727272727272727,0.6727272727272727
JUNB,TBX21,-0.6727272727272727,0.6727272727272727
FOXO1,NFATC3,-0.6606060606060606,0.6606060606060606
STAT5B,ZEB2,-0.6606060606060606,0.6606060606060606
TBX21,ZEB1,-0.6606060606060606,0.6606060606060606
CREM,ZEB2,-0.6484848484848484,0.6484848484848484
FOXP1,NFATC3,-0.6484848484848484,0.6484848484848484
HAVCR2,JUN,-0.6484848484848484,0.6484848484848484
HDAC1,KLF7,-0.6484848484848484,0.6484848484848484
KLF7,SIRT2,-0.6484848484848484,0.6484848484848484
NFATC3,RBPJ,-0.6484848484848484,0.6484848484848484
BACH2,HDAC2,-0.6363636363636364,0.6363636363636364
BHLHE40,FOXP1,-0.6363636363636364,0.6363636363636364
EOMES,NR4A3,-0.6363636363636364,0.6363636363636364
GATA3,ZEB2,-0.6363636363636364,0.6363636363636364
IKZF3,KLF7,-0.6363636363636364,0.6363636363636364
NFATC3,ZEB1,-0.6363636363636364,0.6363636363636364
AHR,IKZF3,-0.6242424242424243,0.6242424242424243
BACH2,ZEB2,-0.6242424242424243,0.6242424242424243
BRD7,FOS,-0.6242424242424243,0.6242424242424243
FOXO1,ZEB2,-0.6242424242424243,0.6242424242424243
HAVCR2,JUNB,-0.6242424242424243,0.6242424242424243
HAVCR2,KLF7,-0.6242424242424243,0.6242424242424243
HAVCR2,LEF1,-0.6242424242424243,0.6242424242424243
EOMES,FOXP1,-0.6121212121212121,0.6121212121212121
BCL2,ZEB2,-0.6,0.6
FOS,IKZF3,-0.6,0.6
HDAC2,JUN,-0.6,0.6
ID2,LEF1,-0.6,0.6
BRD7,JUNB,-0.5878787878787879,0.5878787878787879
GATA3,NFATC3,-0.5878787878787879,0.5878787878787879
HAVCR2,STAT3,-0.5878787878787879,0.5878787878787879
HDAC1,MAF,-0.5878787878787879,0.5878787878787879
IKZF3,STAT3,-0.5878787878787879,0.5878787878787879
IKZF3,ZEB1,-0.5878787878787879,0.5878787878787879
JUNB,NFATC3,-0.5878787878787879,0.5878787878787879
KLF2,ZEB2,-0.5878787878787879,0.5878787878787879
RBPJ,ZEB2,-0.5878787878787879,0.5878787878787879
AHR,HAVCR2,-0.5757575757575758,0.5757575757575758
AHR,NFATC3,-0.5757575757575758,0.5757575757575758
BACH2,IKZF3,-0.5757575757575758,0.5757575757575758
CBLB,FOXP1,-0.5757575757575758,0.5757575757575758
FOS,HAVCR2,-0.5757575757575758,0.5757575757575758
FOXP1,TBX21,-0.5757575757575758,0.5757575757575758
HDAC1,JUN,-0.5757575757575758,0.5757575757575758
IKZF3,RBPJ,-0.5757575757575758,0.5757575757575758
AHR,TBX21,-0.5636363636363636,0.5636363636363636
BACH2,BRD7,-0.5636363636363636,0.5636363636363636
BRD7,RBPJ,-0.5636363636363636,0.5636363636363636
EOMES,NR4A2,-0.5636363636363636,0.5636363636363636
FOS,HDAC1,-0.5636363636363636,0.5636363636363636
HDAC1,STAT3,-0.5636363636363636,0.5636363636363636
IKZF3,LEF1,-0.5636363636363636,0.5636363636363636
NR4A3,ZEB2,-0.5636363636363636,0.5636363636363636
AHR,HDAC1,-0.5515151515151515,0.5515151515151515
BACH2,TOX,-0.5515151515151515,0.5515151515151515
BATF,TCF7,-0.5515151515151515,0.5515151515151515
BRD7,TCF7,-0.5515151515151515,0.5515151515151515
EOMES,STAT3,-0.5515151515151515,0.5515151515151515
FOXO1,IKZF3,-0.5515151515151515,0.5515151515151515
AHR,BRD7,-0.5393939393939394,0.5393939393939394
BRD7,FOXP1,-0.5393939393939394,0.5393939393939394
HDAC2,KLF7,-0.5393939393939394,0.5393939393939394
KLHL22,ZEB2,-0.5393939393939394,0.5393939393939394
LEF1,NFATC3,-0.5393939393939394,0.5393939393939394
MAF,ZEB2,-0.5393939393939394,0.5393939393939394
